final_cluster,plain_label,feature,standardized_median_lift
0,"Transfer-reliant, temperature-variable severe-storm counties",housing_median_sale_price_latest,-0.07612373826298248
0,"Transfer-reliant, temperature-variable severe-storm counties",housing_median_sale_price_mean_last_12,-0.135134330264733
0,"Transfer-reliant, temperature-variable severe-storm counties",housing_median_sale_price_change_12,5.0169683995929025e-06
0,"Transfer-reliant, temperature-variable severe-storm counties",housing_median_sale_price_change_36,0.03812213169488941
0,"Transfer-reliant, temperature-variable severe-storm counties",housing_median_sale_price_slope,-0.002571100032276477
0,"Transfer-reliant, temperature-variable severe-storm counties",housing_median_sale_price_volatility,-0.013729984329912162
0,"Transfer-reliant, temperature-variable severe-storm counties",housing_median_ppsf_latest,-0.04620429101248606
0,"Transfer-reliant, temperature-variable severe-storm counties",housing_median_ppsf_mean_last_12,-0.14467223112303754
0,"Transfer-reliant, temperature-variable severe-storm counties",housing_median_ppsf_change_12,0.017414353645266507
0,"Transfer-reliant, temperature-variable severe-storm counties",housing_median_ppsf_change_36,0.02333977464113115
0,"Transfer-reliant, temperature-variable severe-storm counties",housing_median_ppsf_slope,-0.0012335109001329135
0,"Transfer-reliant, temperature-variable severe-storm counties",housing_median_ppsf_volatility,-0.0011624318527394888
0,"Transfer-reliant, temperature-variable severe-storm counties",housing_inventory_change_12,0.042017503003052036
0,"Transfer-reliant, temperature-variable severe-storm counties",housing_inventory_change_36,0.022093753656662347
0,"Transfer-reliant, temperature-variable severe-storm counties",housing_inventory_slope,0.005574189708765913
0,"Transfer-reliant, temperature-variable severe-storm counties",housing_inventory_volatility,-0.024667195090368372
0,"Transfer-reliant, temperature-variable severe-storm counties",housing_months_of_supply_latest,0.03356356669260242
0,"Transfer-reliant, temperature-variable severe-storm counties",housing_months_of_supply_mean_last_12,0.030420500134526785
0,"Transfer-reliant, temperature-variable severe-storm counties",housing_months_of_supply_change_12,0.006514323099246761
0,"Transfer-reliant, temperature-variable severe-storm counties",housing_months_of_supply_change_36,0.014275370002540658
0,"Transfer-reliant, temperature-variable severe-storm counties",housing_months_of_supply_slope,-0.0020445145835126313
0,"Transfer-reliant, temperature-variable severe-storm counties",housing_months_of_supply_volatility,0.07395726536051053
0,"Transfer-reliant, temperature-variable severe-storm counties",housing_median_dom_latest,0.0
0,"Transfer-reliant, temperature-variable severe-storm counties",housing_median_dom_mean_last_12,-0.017362448669478767
0,"Transfer-reliant, temperature-variable severe-storm counties",housing_median_dom_change_12,-0.008196686706234309
0,"Transfer-reliant, temperature-variable severe-storm counties",housing_median_dom_change_36,-0.002542872404209495
0,"Transfer-reliant, temperature-variable severe-storm counties",housing_median_dom_slope,-0.0013274769214746606
0,"Transfer-reliant, temperature-variable severe-storm counties",housing_median_dom_volatility,0.023050173025709605
0,"Transfer-reliant, temperature-variable severe-storm counties",housing_sold_above_list_latest,-0.02435964457038564
